,conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description
6653,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/78845d0c-e56f-4318-a9c6-bf75931dd520,skill/competence,sector-specific,conduct threat intelligence,"undertake cyber threat intelligence
plan threat intelligence
organise cyber threat intelligence
conduct cyber threat intelligence
undertake threat intelligence
organise CTI
conduct CTI
plan CTI
undertake CTI
organise threat intelligence
plan cyber threat intelligence",,released,2023-11-29T16:22:21.207Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Conduct cyber threats intelligence by collecting, analysing, and interpreting data about potential cyber threats. Leverage various sources of information such as open-source intelligence (OSINT), social media, or dark web services."
6658,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/78a74fd1-efc6-49dc-adb1-1b0fbe35c22c,skill/competence,sector-specific,provide software testing documentation,"provide software testing procedures
provide software test procedures documentation",,released,2025-06-25T08:45:06.159Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Describe software testing procedures to technical team and analysis of test outcomes to users and clients in order to inform them about state and efficiency of software.
6662,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/78b26c92-da70-4c72-9f10-7a8c8b9db02e,skill/competence,sector-specific,use internet to increase sales,"using the internet to increase sales
operate internet to increase sales
apply internet to increase sales
use of the internet to increase sales
handle internet to increase sales
adopt internet to increase sales
use the internet to increase sales",,released,2024-02-09T17:29:09.851Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Promote goods and services through the use of internet systems such as e-commerce, m-commerce and social media in order to increase sales."
6668,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/78d90f00-5226-44fc-95c2-0d8dac6b081b,knowledge,sector-specific,technology education,technology education methods,,released,2023-10-30T10:22:03.573Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The educational branch that aims at providing students with the relevant knowledge skills about technology and its uses and applications.
6693,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7957b5f9-1f33-4ff8-84e9-e258b17882c2,skill/competence,sector-specific,test microelectronics,"micro-electronics analysing
test micro-electronics
analysing microelectronics
microelectronics analysing
testing microelectronics
analysing micro-electronics
analyse microelectronics
microelectronics testing
micro-electronics testing
analyse micro-electronics
testing micro-electronics",,released,2024-02-09T17:29:09.009Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Test microelectronics using appropriate equipment. Gather and analyse data. Monitor and evaluate system performance and take action if needed.
6696,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7961413f-61d0-4722-9cd9-20a050a29899,skill/competence,sector-specific,perform software unit testing,perform unit testing,,released,2025-06-25T08:45:06.159Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Test single units of source code to determine whether or not they are suitable for use by creating short code fragments.
6699,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/797a4416-0b8d-44f3-8fcd-eb10bd0be6b4,skill/competence,sector-specific,develop software prototype,"develop software throw-away simulation
develop software mockup",,released,2024-02-09T17:29:13.7Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Create a first incomplete or preliminary version of a piece of software application to simulate some specific aspects of the final product.
6706,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/79a5bc25-5b59-47bc-a4c2-fb8e8cb1ddf6,knowledge,sector-specific,smart grids systems,smart grids,,released,2022-07-05T14:38:06.701Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Smart grids are a digital electricity network. The system involves the electronic digital control of production, distribution and use of electricity, information management of the components and energy saving."
6713,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/79c366d4-0316-4838-b72e-c3be4f90fbd3,skill/competence,cross-sector,use communication devices,"use communication equipment
operate communication equipment
conduct communications operations using communication devices
utilise communication devices
communicate using communication equipment
operate communication devices
communicate using communication devices
utilise communication equipment
perform communication activities using communication devices
carry out activities using communication equipment",,released,2024-02-09T17:29:14.494Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Operate communication devices in order to interact with customers, colleagues, and others."
6720,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/79e29b8b-47d1-470d-b7b1-32506bfe7d9a,skill/competence,cross-sector,collect ICT data,"obtain digital data
gather digital data; obtain digital data
gather digital data
collect digital data",,released,2025-11-26T10:19:14.155Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Gather data by designing and applying search and sampling methods.
6741,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7a6b4549-cd3e-46c7-8a40-9096520dff84,skill/competence,sector-specific,modify textile designs,"edit textile illustrations
change textile sketches
modify the textile design
modify designs of textile",,released,2024-02-09T17:29:12.952Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Edit sketches and digital textile designs until they meet up with customers' requirements.
6743,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7a757fa5-9a6f-43ab-9e66-f8f4dba1ffcb,skill/competence,cross-sector,use CAM software,"apply machinery control programmes
adopt machinery control programmes
handle CAM software
adopt CAM software
utilise machinery control programmes
utilise CAM software
handle machinery control programmes
apply CAM software",,released,2024-02-09T17:29:13.7Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Use computer-aided manufacturing (CAM) programmes to control machinery and machine tools in the creation, modification, analysis, or optimisation as part of the manufacturing processes of workpieces."
6748,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7a950986-27fe-4b6c-adf3-88f211e77019,knowledge,cross-sector,robotic components,"microprocessors
servomotors
encoders
range of robotic components
kinds of robotic components
circuit boards
types of robotic components
typology of robotic components",,released,2025-04-16T11:45:47.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The components that can be found in robotic systems, such as microprocessors, electronics, sensors, circuit boards, encoders, servomotors, controllers, pneumatics or hydraulics."
6753,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7aa52bdc-9c56-4341-be65-e8e30f64403f,skill/competence,cross-sector,monitor automated machines,"oversee automated machines
oversee automatic machinery
supervise automated machines
watch over automatic machinery
supervise automatic machinery
watch over automated machines
audit automatic machinery
audit automated machines",,released,2024-02-09T17:29:09.009Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Continuously check up on the automated machine's set-up and execution or make regular control rounds. If necessary, record and interpret data on the operating conditions of installations and equipment in order to identify abnormalities."
6759,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7abf5b24-8f18-49c5-a64b-5a5870a03a56,skill/competence,occupation-specific,convert scribbles into virtual sketches,"transform scribbles into virtual sketches
transfer scribbles into virtual sketches
converting of scribbles into virtual sketches
adap scribbles into virtual sketches t
translate scribbles into virtual sketches
scribble converting into virtual sketches",,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Use software to convert the roughly drawn representation of a design into a two-dimensional geometrical sketch that they can further develop to obtain the final concept.
6763,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7adb8473-bcc6-4ff8-9850-76d945d40092,skill/competence,sector-specific,analyse ICT system,"assess ICT system
analyse information and communications technology system
analyze information and communications technology system
assess information and communications technology system
analyze ICT system",,released,2024-02-28T15:39:50.76Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Analyse the functioning and performance of information systems in order to define their goals, architecture and services and set procedures and operations to meet end users requirements."
6779,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7b0d5000-00da-4864-b776-6de49a87a669,knowledge,cross-sector,computer vision,"OCR
cuda
matlab
tensorflow
simpleCV
openCV
keras",,released,2022-07-05T14:34:46.63Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The definition and functioning of computer vision. Computer vision tools to allow computers to extract information from digital images such as photographs or video. Areas of application to solve real-world problems like security, autonomous driving, robotic manufacturing and inspection, digital image classification, medical image processing and diagnosis, and others."
6794,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7b5cb897-2ee8-450c-85a6-d73925cbd1dc,knowledge,sector-specific,GameSalad,"GameSalad interface
GameSalad platform",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The drag-and-drop software interface that consists of specialised design tools used for the rapid iteration of user-derived computer games by users with limited programming knowledge.
6795,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7b5cce4d-c7fe-4119-b48f-70aa05391787,knowledge,cross-sector,computer science,"informatics
informatics studies",,released,2024-02-09T17:29:16.725Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The scientific and practical study that deals with the foundations of information and computation, namely algorithms, data structures, programming, and data architecture. It deals with the practicability, structure and mechanisation of the methodical procedures that manage the acquisition, processing, and access to information."
6819,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7bf4539a-3f2e-4485-876b-1c9306b181af,knowledge,sector-specific,John The Ripper (penetration testing tool),John The Ripper,,released,2022-07-05T14:37:18.921Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The tool John the Ripper is a password recovery tool which tests security weaknesses of the systems for potentially unauthorised access to system information. The key features of this tool are the strength-checking code and password hash code.
6849,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7c5b66c6-36a1-4e03-bb57-64e8688b8f58,skill/competence,sector-specific,operate private branch exchange,PBX,,released,2024-02-09T17:29:09.009Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Handle Private Branch Exchange (PBX), a telecommunication system within an organisation that switches calls between users on local lines. At the same time the system allows all users to share external phone lines."
6858,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7c821387-b428-4f75-b5a7-7b038aa81cfd,skill/competence,cross-sector,use a warehouse management system,"oversee a warehouse management system
supervise a warehouse management system
managing a warehouse management system
manage warehouse management systems
maintain a warehouse management system",,released,2024-02-09T17:29:14.494Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Use software in order to store materials within a warehouse and perform operations such as shipping, receiving and picking."
6864,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7c939ef4-adb2-4c0c-aa27-9cc1aefd7c81,knowledge,cross-sector,blockchain-based services regulation,"regulatory framework for blockchain
legal guidance for blockchain
legal regulations for blockchain",,released,2023-10-30T08:55:14.955Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Key legal regulations around the blockchain, both existing and emerging ones. In Europe, regulations around the Digital Euro and Crypt-Assets, as well as the Pan-European blockchain regulatory sandbox are considered most essential."
6866,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7c9cb75d-ca4a-47c0-a989-ec0ba65a4bf0,skill/competence,sector-specific,use typesetting software,"make use of typesetting software
utilise typesetting software
using typesetting software
employ typesetting software",,released,2024-02-09T17:29:13.7Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Use specialised computer programs to arrange the type of texts and images to be printed.
6867,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7ca5d3c2-2cea-4fac-88e4-f2955c5b705c,skill/competence,sector-specific,use IT systems for commercial purposes,"use IT systems for a commercial purpose
handle IT systems for commercial purposes
adopt IT systems for commercial purposes
use an IT system for commercial purposes
operate IT systems for commercial purposes
apply IT systems for commercial purposes
using IT systems for commercial purposes",,released,2024-02-09T17:29:13.7Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Convey and communicate data and make commercial decisions by using internal and external IT-systems where appropriate.
6883,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7d02180a-87d1-4e25-92e1-653309c173c4,skill/competence,sector-specific,operate automated optical inspection machine,"automated optical inspection machine operating
operating automated optical inspection machine
automated optical inspection machine tending
tend automated optical inspection machine
tending automated optical inspection machine",,released,2024-02-09T17:29:14.494Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Inspect the quality of assembled printed circuit boards (PCB) or surface-mount devices (SMD) through operating the automated optical inspection machine. During each test, dozens of images are captured with a special camera and compared to previous assembled boards."
6889,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7d10fcb2-b368-48ab-996b-7c9fafcf68ed,skill/competence,sector-specific,use automatic programming,use visual programming,,released,2024-02-09T17:29:15.235Z,Includes visual programming.,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Utilise specialised software tools to generate computer code from specifications, such as diagrams, structured informations or other means of describing functionality."
6890,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7d11f682-644f-44fa-ad08-d6b0d97d2f28,skill/competence,occupation-specific,develop shipping itineraries,"develop voyage scenario
plot shipping voyage
utilise specialised software to develop a shipping itinerary
develop travel plans
develop journey plans
create itineraries
use specialised equipment and software to develop a shipping itinerary
plot shipping journey
plot shipping journey through use of specialist equipment and software",,released,2024-02-09T17:29:16.725Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Develop a total journey scenario using equipment and specialised software. Plot multiple port voyages while optimising utilisation of cargo space and ship capacity throughout the entire voyage.
6906,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7d5ff73e-7bea-436d-974f-3a51ce24a138,skill/competence,sector-specific,develop virtual game engine,create game development framework,,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Create a virtual software framework that abstracts the details of doing common game-related tasks.
6917,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50,knowledge,occupation-specific,predictive maintenance,"total predictive maintenance
predictive and preventative maintenance
predictive models for maintenance
predictive maintenance techniques
PdM",,released,2025-04-11T14:11:11.61Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The use of data analytics and mathematical calculation to manage and monitor the conditions of machines and production processes.
6935,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7dde2d1d-48fa-43c9-8b48-1372b6e7cb4c,skill/competence,sector-specific,operate on-board computer systems,"use on-board vehicle computer systems
utilise on-board computer systems
carry out on-board vehicle computer operations
perform on-board vehicle computer operations
execute on-board vehicle computer operations
perform operations using on-board computer systems
conduct operations using on-board computer systems
use on-board computer systems
utilise on-board vehicle computer systems
operate on-board vehicle computer systems",,released,2024-02-09T17:29:09.851Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Operate on-board computer systems in heavy trucks and vehicles; communicate with yard management computer system.
6938,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7deca286-1bd6-490e-851f-82d9d410d584,skill/competence,occupation-specific,"design the digital interface of gambling, betting and lottery games","design the digital interface of gambling games
design the interface of lottery games digitally
design gambling games' digital interface
design the digital outlook of games
create the digital interface of betting games",,released,2024-02-09T17:29:12.952Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Create the digital outlook of gambling, betting and lottery games to make them appealing to the audience."
6941,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7dfbe0f3-076f-4a19-9eaa-db4d6db704b6,skill/competence,sector-specific,keep up-to-date to computer trends,"keep an up-to-date to computer trend
save up-to-date to computer trends
keeping up-to-date to computer trends
retain up-to-date to computer trends
store up-to-date to computer trends
hold up-to-date to computer trends",,released,2024-02-09T17:29:13.7Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Stay aware of the current developments and trends in computer hardware, software and peripherals."
6950,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7e1f9657-ab4e-407c-842f-b846197060e3,skill/competence,sector-specific,execute ICT audits,"execute information security audits
execute IT security audits
execute cyber security audits
execute ICT security audits",,released,2023-03-10T17:45:05.216Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Organise and execute audits in order to evaluate ICT systems, compliance of components of systems, information processing systems and information security. Identify and collect potential critical issues and recommend solutions based on required standards and solutions."
6973,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7e796b51-49d7-4e73-95af-2e7323763f15,skill/competence,sector-specific,design database in the cloud,"apply design principles for cloud data architecture
develop cloud database design
apply design principles for cloud database design
design automated cloud databases
design cloud data architecture",,released,2024-02-26T09:55:44.119Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Apply design principles for an adaptive, elastic, automated, loosely coupled databases making use of cloud infrastructure. Aim to remove any single point of failure through distributed database design."
6992,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7edd11f2-6b4a-4a76-8b82-b5c57f3d8f07,skill/competence,sector-specific,animate 3D organic forms,"create facial animation for 3D character
Animate 3D characters",,released,2024-02-09T17:29:14.494Z,It includes real-time 3D animations.,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Vitalise digital 3D models of organic items, such as emotions or face movements of characters and place them in a digital 3D environment."
7003,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7f0b1a66-ebaf-4c8a-b606-4c1844eb692e,skill/competence,sector-specific,attend to ICT systems quality,"ensure ICT systems meet required standards
ensure ICT system quality",,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Ensure correct operations which comply fully with specific needs and outcomes in terms of the development, integration, security and overall management of ICT systems."
7011,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7f27f1ff-2e17-4b69-990e-c23334478313,knowledge,cross-sector,assessment of risks and threats,"principles of assessment of risks and threats
methods for handling security-related information
methods for assessment of risks and threats
principles for handling security-related information
techniques for handling security-related information
techniques for assessment of risks and threats",,released,2024-02-09T17:29:15.235Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The security documentation and any security-related communications and information.
7012,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7f2afce6-e98b-4bbe-8441-d52b45e28ab8,knowledge,sector-specific,telecom regulations,Electronic Communications Code,,released,2023-11-29T16:29:57.116Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Code of rules to protect telecommunication consumers, ensuring high standards of communication services such as equivalent and affordable access, connectivity, transparency of contracts or security against malware. The regulation covers web-based and traditional services."
7039,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7fb699d9-182a-430e-b7a0-6d8ed05c284b,knowledge,cross-sector,graphic design,"graphic designs
graphic designing
visual design",,released,2024-02-09T17:29:11.47Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The techniques to create a visual representation of ideas and messages.
7042,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7fc4c18a-68f3-425a-aadf-f83633be47a1,knowledge,sector-specific,learning technologies,learning channels,,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The technologies and channels, including digital, to enhance learning."
7053,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7ffae77a-93ce-40a3-af99-fae5729e8b15,skill/competence,sector-specific,assemble robots,"robots assembling
assembling robots
robotic machines assembling
assembling robotic machines
robot assembling
robotic machine assembling
assemble robotic machines",,released,2024-02-09T17:29:09.851Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Assemble robotic machines, devices, and components according to engineering drawings. Program and install the necessary components of robotic systems, such as robot controllers, conveyors, and end-of-arm tools."
7075,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/805e4fac-5325-42a2-a9e7-c6c777185a05,skill/competence,occupation-specific,manage online gambling,"monitor gambling website
manage online gambles
manage gambling online
coordinate gambling activities",,released,2024-02-09T17:29:09.851Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Set up, coordinate and manage online gambling activities. Monitor the action on the online gambling website and ensure customer service procedures run as planned. Coordinate the technical staff to maintain the gambling software and plan operations to secure profits."
7082,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44,knowledge,sector-specific,cyber security,"ICT security
cybersecurity
digital security
information and communications technology security
IT security
information security",,released,2023-03-10T16:28:05.23Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The methods and best practices that protect ICT systems, networks, computers, devices, services, processes and people against unauthorised access, modification and/or denial of service of assets."
7108,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/81086bb0-a110-470d-ba5a-2c68fc535407,skill/competence,sector-specific,manage flight data communications programme,"oversee flight data communication programme
supervise data communication programme
supervise flight data communication programme
manage data communication programme
manage exchange of flight data in aviation operations
oversee data communication programme
manage exchange of digital flight data between pilots and air traffic control
facilitate transmission of flight data through management of digital communication programmes
ensure effective exchange of digital flight data between pilots and air traffic control
manage transmission of flight data in aviation operations
manage flight data communications program",,released,2022-07-05T14:37:59.932Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Manage the exchanges of digital data between air traffic controllers and pilots to enable efficient aviation operations, such as trajectory-based routing and optimised profile descents. Support the safety-of-flight command, control, and information services by providing data connectivity. Provide ground automated message generation, transmission, and routing."
7121,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/812b8819-9b7a-4df9-9c9f-1b60888d0861,knowledge,sector-specific,e-tailoring,"online tailoring
remote tailoring
online tailor services",,released,2024-02-09T17:29:15.968Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The business model using softwares and technical applications in order to gather the information of clients for the manufacturing of bespoke products.
